*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=555 transistores REV1
*Date=10:23:04
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;50.7493;-41.5355;0;Bottom;Copper Fill105
2;;TO92 [THT];14.0697;-42.974;90;Bottom;Q3
3;;;15.3797;-12.2112;0;Bottom;Copper Fill90
4;;;50.8509;-67.8372;0;Bottom;Copper Fill55
5;;TO92 [THT];19.1497;-42.974;90;Bottom;Q4
6;;;87.4027;-25.2676;0;Bottom;TXT5
7;;TO92 [THT];67.5875;-29.893;-90;Bottom;Q22
8;;;77.8765;-66.9482;0;Bottom;Copper Fill119
9;;;22.4791;-35.2363;0;Bottom;Copper Fill160
10;4.7k;THT;72.5786;-42.7835;-90;Bottom;R10
11;;;7.7597;-3.21957;0;Bottom;Copper Fill88
12;;;7.80859;-7.22351;0;Bottom;Hole7
13;;;67.5758;-34.5904;0;Bottom;TXT7
14;;;53.5285;-58.0235;0;Bottom;Via15
15;;;81.4198;-34.487;0;Bottom;Copper Fill108
16;4.7k;THT;3.99858;-55.4835;-90;Bottom;R1
17;;;55.2705;-50.4255;0;Bottom;Copper Fill168
18;;;43.3198;-8.73137;0;Bottom;Copper Fill96
19;;;14.2748;-11.1063;0;Bottom;Copper Fill91
20;;;10.998;-33.4572;0;Bottom;TXT2
21;;TO92 [THT];76.4775;-55.293;-90;Bottom;Q17
22;;TO92 [THT];19.3275;-27.353;-90;Bottom;Q8
23;;;30.6578;-50.0572;0;Bottom;Copper Fill134
24;4.7k;THT;86.5486;-41.5135;90;Bottom;R13
25;;TO92 [THT];49.8075;-41.323;-90;Bottom;Q13
26;100k;THT;91.6286;-22.4635;90;Bottom;R16
27;;;75.4635;-55.8738;0;Bottom;Copper Fill65
28;;;65.184;-41.9009;0;Bottom;Via3
29;;;81.4198;-59.1758;0;Bottom;Copper Fill107
30;;smtso-256-et;7.80858;-68.1835;0;Bottom;JP8
31;;;14.1097;-39.186;0;Bottom;Copper Fill151
32;;;65.113;-41.218;0;Bottom;Copper Fill111
33;;TO92 [THT];39.6475;-52.753;-90;Bottom;Q9
34;;;4.0132;-60.1664;0;Bottom;Copper Fill58
35;;;42.2318;-60.3688;0;Bottom;TXT4
36;;;21.7298;-34.487;0;Bottom;Copper Fill159
37;;;7.7597;-3.21957;0;Bottom;Copper Fill147
38;;TO92 [THT];72.6675;-29.893;-90;Bottom;Q23
39;;;92.8985;-68.1835;0;Bottom;Hole11
40;;TO92 [THT];71.2197;-20.114;90;Bottom;Q16
41;;TO92 [THT];59.9675;-55.293;-90;Bottom;Q14
42;;;59.8425;-57.347;0;Bottom;Copper Fill121
43;4.7k;THT;24.3186;-36.4335;-90;Bottom;R6
44;4.7k;THT;24.3186;-17.3835;-90;Bottom;R7
45;;;52.2585;-49.1335;0;Bottom;Via16
46;;;3.4036;-7.29627;0;Bottom;Copper Fill89
47;;;78.2067;-35.7824;0;Bottom;Copper Fill131
48;;;87.5793;-46.6155;0;Bottom;Copper Fill157
49;;TO92 [THT];9.16748;-27.353;-90;Bottom;Q6
50;;;67.5391;-59.2518;0;Bottom;Via17
51;;TO92 [THT];4.08748;-27.353;-90;Bottom;Q5
52;;;31.1658;-23.2348;0;Bottom;Copper Fill84
53;;smtso-256-et;64.5008;-7.22346;0;Bottom;JP3
54;;;21.7298;-35.9856;0;Bottom;Copper Fill102
55;;;21.7929;-35.1836;0;Bottom;Via6
56;;;78.9286;-68.1835;0;Bottom;Hole17
57;;;43.3198;-10.9412;0;Bottom;Copper Fill95
58;;TO92 [THT];62.5075;-29.893;-90;Bottom;Q21
59;;;83.3022;-60.5305;0;Bottom;TXT6
60;;;49.7186;-68.1835;0;Bottom;Hole16
61;;;10.4394;-36.4174;0;Bottom;Copper Fill130
62;;;65.113;-42.6912;0;Bottom;Copper Fill164
63;;;86.4998;-47.7458;0;Bottom;Copper Fill98
64;4.7k;THT;24.3186;-55.4835;-90;Bottom;R5
65;;;78.6893;-68.4468;0;Bottom;Copper Fill56
66;;TO92 [THT];91.7175;-55.293;-90;Bottom;Q20
67;;;92.8985;-7.22351;0;Bottom;Hole10
68;;;39.3192;-27.0702;0;Bottom;Copper Fill143
69;;;65.8623;-41.9419;0;Bottom;Copper Fill165
70;;;64.9585;-26.2736;0;Bottom;Via12
71;;;85.3949;-46.6155;0;Bottom;Copper Fill156
72;;;7.7597;-11.6524;0;Bottom;Copper Fill87
73;;;56.0685;-50.4034;0;Bottom;Via2
74;;TO92 [THT];81.5575;-55.293;-90;Bottom;Q18
75;3.9k;THT;77.6586;-41.5135;-90;Bottom;R14
76;;;80.6705;-35.2363;0;Bottom;Copper Fill109
77;;;43.3198;-8.73137;0;Bottom;Copper Fill155
78;;;64.4567;-68.1835;0;Bottom;Hole12
79;;;81.4198;-35.9856;0;Bottom;Copper Fill162
80;;;49.7682;-7.22347;0;Bottom;Hole19
81;;;87.5793;-46.6155;0;Bottom;Copper Fill101
82;;;15.3797;-12.2112;0;Bottom;Copper Fill149
83;4.7k;THT;19.2386;-55.4835;-90;Bottom;R3
84;;;36.1527;-68.1835;0;Bottom;Hole13
85;;TO92 [THT];63.5997;-20.114;90;Bottom;Q25
86;;;34.4785;-32.6236;0;Bottom;Via7
87;;;82.1691;-35.2363;0;Bottom;Copper Fill110
88;;;83.2867;-32.709;0;Bottom;Copper Fill81
89;;smtso-256-et;36.0531;-7.22346;0;Bottom;JP2
90;;;56.0198;-51.2002;0;Bottom;Copper Fill167
91;;;67.4985;-51.6734;0;Bottom;Via1
92;;TO92 [THT];14.2475;-27.353;-90;Bottom;Q7
93;;;56.0198;-51.2002;0;Bottom;Copper Fill114
94;;;64.4624;-7.22351;0;Bottom;Hole9
95;;TO92 [THT];3.90968;-42.974;90;Bottom;Q1
96;;;24.2698;-11.2714;0;Bottom;Copper Fill93
97;100;THT;77.6586;-22.4635;-90;Bottom;R17
98;;;44.7803;-51.8098;0;Bottom;Copper Fill128
99;;;78.9286;-7.22347;0;Bottom;Hole20
100;1k;THT;31.9386;-55.4835;-90;Bottom;R9
101;;TO92 [THT];86.6375;-55.293;-90;Bottom;Q19
102;;;36.1815;-7.22351;0;Bottom;Hole8
103;;;75.1185;-64.3735;0;Bottom;Via14
104;;;65.8623;-41.9419;0;Bottom;Copper Fill112
105;;;15.1892;-40.2655;0;Bottom;Copper Fill153
106;;;85.3949;-46.6155;0;Bottom;Copper Fill100
107;;;91.5798;-31.5914;0;Bottom;Copper Fill158
108;10k;THT;15.4286;-16.1135;-90;Bottom;R4
109;;;83.9979;-45.9678;0;Bottom;Copper Fill73
110;;TO92 [THT];34.5675;-41.323;-90;Bottom;Q10
111;;;21.3786;-68.5835;0;Bottom;Hole15
112;;;57.3385;-55.4835;0;Bottom;Via13
113;;;20.9805;-35.2363;0;Bottom;Copper Fill103
114;;;7.80859;-68.1835;0;Bottom;Hole14
115;220;THT;62.4186;-41.5135;-90;Bottom;R15
116;;;24.2698;-11.2714;0;Bottom;Copper Fill154
117;;;86.4998;-45.536;0;Bottom;Copper Fill99
118;820;THT;11.6186;-55.4835;-90;Bottom;R2
119;;smtso-256-et;7.80858;-7.22346;0;Bottom;JP1
120;;;7.7597;-11.6524;0;Bottom;Copper Fill146
121;;;55.2705;-50.4255;0;Bottom;Copper Fill116
122;;TO92 [THT];39.6475;-41.323;-90;Bottom;Q11
123;;;95.4365;-37.723;0;Bottom;Via9
124;;;63.6779;-45.1042;0;Bottom;Copper Fill76
125;;TO92 [THT];91.5397;-35.354;90;Bottom;Q24
126;;;67.4498;-52.4702;0;Bottom;Copper Fill113
127;100k;THT;43.3686;-14.8435;-90;Bottom;R8
128;;;31.875;-56.7271;0;Bottom;Via10
129;;;72.5298;-33.8012;0;Bottom;Copper Fill161
130;;;24.2698;-13.4812;0;Bottom;Copper Fill92
131;;smtso-256-et;36.0531;-68.1835;0;Bottom;JP7
132;;TO92 [THT];44.7275;-41.323;-90;Bottom;Q12
133;6.8k;THT;54.7986;-14.8435;-90;Bottom;R12
134;;;21.8282;-7.22347;0;Bottom;Hole18
135;;;22.4791;-35.2363;0;Bottom;Copper Fill104
136;;TO92 [THT];86.4597;-18.844;90;Bottom;Q26
137;;TO92 [THT];65.0475;-55.293;-90;Bottom;Q15
138;;;81.8897;-32.709;0;Bottom;Copper Fill141
139;;;29.1334;-37.5161;-90;Bottom;TXT3
140;;;25.3493;-12.3763;0;Bottom;Copper Fill94
141;;smtso-256-et;92.8986;-68.1835;0;Bottom;JP5
142;;;82.1691;-35.2363;0;Bottom;Copper Fill163
143;;;81.4685;-35.1636;0;Bottom;Via4
144;;;14.2748;-11.1063;0;Bottom;Copper Fill150
145;15k;THT;72.5786;-59.2935;-90;Bottom;R11
146;;;91.5798;-31.5914;0;Bottom;Copper Fill106
